Service_side,Start_frame,End_frame,JOMR_score,ClaM_MaMeB_score,JOMR_sets,ClaM_MaMeB_sets,point_index
debut du match,43,349,0,0,0,0,1
service ClaM_MaMeB,670,870,0,1,0,0,2
service JOMR,1209,1526,1,1,0,0,3
service JOMR,1761,1981,2,1,0,0,4
service JOMR,2345,2536,3,1,0,0,5
service ClaM_MaMeB,3091,3305,3,2,0,0,6
service JOMR,3656,3985,4,2,0,0,7
service ClaM_MaMeB,4276,4576,4,3,0,0,8
service ClaM_MaMeB,4990,5204,4,4,0,0,9
service ClaM_MaMeB,5439,5746,4,5,0,0,10
*SWITCH*,5846,5888,4,5,0,0,
service ClaM_MaMeB,6189,6394,4,6,0,0,11
service JOMR,6769,7085,5,6,0,0,12
service ClaM_MaMeB,7309,7520,5,7,0,0,13
service ClaM_MaMeB,7745,8223,5,8,0,0,14
Temps mort,8534,9141,5,8,0,0,
service ClaM_MaMeB,9993,10283,5,9,0,0,15
*SWITCH*,10373,10414,5,9,0,0,
service JOMR,10616,10791,6,9,0,0,16
service ClaM_MaMeB,11038,11271,6,10,0,0,17
service JOMR,11596,11760,7,10,0,0,18
service JOMR,11965,12124,8,10,0,0,19
service JOMR,12307,12564,9,10,0,0,20
*SWITCH*,12678,13004,9,10,0,0,
service ClaM_MaMeB,13086,13257,9,11,0,0,21
service JOMR,13454,13826,10,11,0,0,22
service ClaM_MaMeB,14075,14555,10,12,0,0,23
service JOMR,14902,15588,11,12,0,0,24
service JOMR,16165,16384,12,12,0,0,25
*SWITCH*,16424,16478,12,12,0,0,
service ClaM_MaMeB,16778,17138,12,13,0,0,26
service ClaM_MaMeB,17280,19757,12,14,0,0,27
service JOMR,19999,20220,13,14,0,0,28
service JOMR,20658,21101,14,14,0,0,29
service ClaM_MaMeB,21620,22299,14,15,0,0,30
*SWITCH*,22402,22476,14,15,0,0,
service JOMR,22711,22998,15,15,0,0,31
service ClaM_MaMeB,23440,23728,15,16,0,0,32
service JOMR,24121,24318,16,16,0,0,33
service ClaM_MaMeB,24733,24969,16,17,0,0,34
fin du set,0,0,16,18,0,1,
debut du set,27693,27925,0,0,0,1,35
service JOMR,28254,28677,1,0,0,1,36
service JOMR,29111,29341,2,0,0,1,37
service JOMR,29586,30003,3,0,0,1,38
service JOMR,30253,30552,4,0,0,1,39
service JOMR,31045,31232,5,0,0,1,40
service ClaM_MaMeB,31482,31690,5,1,0,1,41
service JOMR,31868,32050,6,1,0,1,42
service ClaM_MaMeB,32208,32652,6,2,0,1,43
Temps mort,32995,33914,6,2,0,1,
service JOMR,35400,35779,7,2,0,1,44
*SWITCH*,35854,36150,7,2,0,1,
service ClaM_MaMeB,36548,36888,7,3,0,1,45
service JOMR,37167,37443,8,3,0,1,46
service ClaM_MaMeB,37877,38200,8,4,0,1,47
service JOMR,38402,38721,9,4,0,1,48
service ClaM_MaMeB,39177,39541,9,5,0,1,49
*SWITCH*,39664,39867,9,5,0,1,
service JOMR,39940,40174,10,5,0,1,50
service ClaM_MaMeB,40409,40713,10,6,0,1,51
service JOMR,40949,41139,11,6,0,1,52
service ClaM_MaMeB,41282,41565,11,7,0,1,53
service ClaM_MaMeB,41709,42073,11,8,0,1,54
*SWITCH*,42369,42536,11,8,0,1,
service ClaM_MaMeB,42638,42883,11,9,0,1,55
service JOMR,43140,43519,12,9,0,1,56
service ClaM_MaMeB,44728,45029,12,10,0,1,57
service JOMR,45214,45602,13,10,0,1,58
service ClaM_MaMeB,46316,46528,13,11,0,1,59
*SWITCH*,46664,46798,13,11,0,1,
service ClaM_MaMeB,46898,47390,13,12,0,1,60
service ClaM_MaMeB,47815,48049,13,13,0,1,61
service ClaM_MaMeB,48340,48932,13,14,0,1,62
service JOMR,49058,49287,14,14,0,1,63
service ClaM_MaMeB,49634,49984,14,15,0,1,64
fin du set,0,0,14,16,0,2,
