serie_id,club,type,genre,date,serie_name
SSA_S2-500_F_oct25,SSA,S2-500,Feminin,26/10/2025,S2-500 SSA oct 2025
MBV_S2-500_F_nov25,MBV,S2-500,Feminin,15/11/2025,S2-500 Montpellier nov 2025
BSD_S2-250_F_nov25,BSD,S2-250,Feminin,30/11/2025,S2-250 Dijon nov 205
Leuven_Int_F_nov24,Leuven,International,Feminin,01/11/2024,Tournoi - Leuven nov 2024
MBV_S2-250_F_jan26,MBV,S2-250,Feminin,31/01/2026,S2-250 Montpellier jan 2026
VSG_S2-1000_F_mar26,VSG,S2-1000,Feminin,22/03/2026,S2-1000 Vésinet mars 2026
OLB_S2-250_M_mar26,OLB,S2-250,Masculin,21/03/2026,S2-250 Onlybeach mars 2026
MON_S2-1000_F_mar26,MON,S2-1000,Feminin,29/03/2026,S2-1000 Monaco mars 2026
session,session,session,Feminin,session,session
session,session,session,Masculin,session,session
SSA_S2-750_F_avr26,SSA,S2-750,Feminin,19/04/2026,S2-750 SSA avril 2026
MBV_S2-750_F_avr26,MBV,S2-750,Feminin,25/04/2026,S2-750 Montpellier avril 2026
ISL_S2-1000_F_mai26,ISL,S2-1000,Feminin,01/05/2026,S2-1000 Isla mai 2026
BSD_S1-1500_F_mai26,BSD,S1-1500,Feminin,16/05/2026,S1-1500 Dijon mai 2026
